time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.034,-1.29473,-0.03421,-0.05223
0.034,-1.29473,-0.03421,-0.05223
0.034,-1.39491,-0.08002,-0.10812
0.034,-1.39491,-0.08002,-0.10812
0.034,-1.50639,-0.02688,-0.13561
0.034,-1.50639,-0.02688,-0.13561
0.037,-1.61055,0.04276,-0.12889
0.037,-1.61055,0.04276,-0.12889
0.068,-1.66583,0.08155,-0.04612
0.068,-1.66583,0.08155,-0.04612
0.068,-1.66949,0.07453,0.01100
0.068,-1.66705,0.06567,0.11912
0.068,-1.66705,0.06567,0.11912
0.080,-1.71684,0.04734,0.18906
0.080,-1.71684,0.04734,0.18906
0.088,-1.82649,0.02902,0.20036
0.088,-1.82649,0.02902,0.20036
0.088,-1.82649,0.02902,0.20036
0.095,-1.94835,0.01466,0.19731
0.124,-1.99661,-0.00214,0.22083
0.124,-1.99661,-0.00214,0.22083
0.128,-1.99661,-0.00214,0.22083
0.128,-1.96240,-0.02505,0.26664
0.128,-1.92667,-0.11118,0.31521
0.128,-1.92667,-0.11118,0.31521
0.135,-1.92148,-0.19242,0.33048
0.135,-1.92148,-0.19242,0.33048
0.147,-1.91109,-0.20525,0.35308
0.147,-1.91109,-0.20525,0.35308
0.155,-1.86772,-0.18234,0.38118
0.159,-1.86772,-0.18234,0.38118
0.171,-1.82679,-0.15821,0.40653
0.171,-1.82679,-0.15821,0.40653
0.175,-1.82221,-0.16341,0.43616
0.187,-1.91018,-0.16371,0.44624
0.187,-1.91018,-0.16371,0.44624
0.195,-2.09405,-0.19151,0.43952
0.195,-2.09405,-0.19151,0.43952
0.207,-2.19820,-0.29352,0.45968
0.207,-2.19820,-0.29352,0.45968
0.216,-2.19667,-0.39554,0.47983
0.216,-2.19667,-0.39554,0.47983
0.228,-2.13833,-0.42425,0.52809
0.228,-2.13833,-0.42425,0.52809
0.236,-2.05556,-0.44868,0.58948
0.248,-1.98898,-0.47250,0.68081
0.248,-1.98898,-0.47250,0.68081
0.256,-1.95843,-0.48381,0.76572
0.256,-1.95843,-0.48381,0.76572
0.268,-1.89643,-0.41722,0.80115
0.268,-1.89643,-0.41722,0.80115
0.276,-1.73547,-0.30604,0.80756
0.276,-1.73547,-0.30604,0.80756
0.292,-1.46730,-0.20067,0.84635
0.295,-1.46730,-0.20067,0.84635
0.295,-1.46730,-0.20067,0.84635
0.296,-1.31214,-0.12004,0.87812
0.308,-1.04794,-0.10049,0.89217
0.308,-1.04794,-0.10049,0.89217
0.333,-0.92302,-0.11209,0.75808
0.334,-0.88209,-0.16982,0.53298
0.334,-0.88209,-0.16982,0.53298
0.337,-0.88209,-0.21991,0.38698
0.337,-0.88209,-0.21991,0.38698
0.368,-0.84758,-0.21564,0.34728
0.369,-0.84758,-0.21564,0.34728
0.369,-0.70555,-0.14416,0.36377
0.369,-0.70555,-0.14416,0.36377
0.369,-0.61484,-0.12828,0.40959
0.369,-0.61484,-0.12828,0.40959
0.376,-0.59804,-0.22113,0.42058
0.388,-0.56658,-0.29230,0.40775
0.388,-0.56658,-0.29230,0.40775
0.396,-0.48930,-0.44746,0.39584
0.396,-0.48930,-0.44746,0.39584
0.409,-0.36682,-0.55589,0.38607
0.409,-0.36682,-0.55589,0.38607
0.416,-0.24190,-0.57788,0.35003
0.432,-0.15516,-0.55222,0.28039
0.432,-0.15516,-0.55222,0.28039
0.436,-0.11148,-0.49480,0.21808
0.436,-0.11148,-0.49480,0.21808
0.449,-0.10293,-0.42547,0.20403
0.449,-0.10293,-0.42547,0.20403
0.500,-0.10476,-0.38729,0.21930
0.500,-0.10476,-0.38729,0.21930
0.500,-0.12248,-0.37629,0.20128
0.500,-0.12248,-0.37629,0.20128
0.500,-0.12248,-0.37629,0.20128
0.500,-0.20678,-0.38576,0.16829
0.500,-0.37324,-0.41783,0.05712
0.500,-0.37324,-0.41783,0.05712
0.500,-0.54734,-0.42180,-0.04643
0.500,-0.54734,-0.42180,-0.04643
0.509,-0.61972,-0.38179,-0.05101
0.509,-0.61972,-0.38179,-0.05101
0.516,-0.58582,-0.30696,0.00122
0.516,-0.58582,-0.30696,0.00122
0.529,-0.54153,-0.22144,0.02169
0.529,-0.54153,-0.22144,0.02169
0.536,-0.52870,-0.21166,0.03268
0.548,-0.51985,-0.31521,0.03451
0.548,-0.51985,-0.31521,0.03451
0.556,-0.48319,-0.39370,0.03054
0.560,-0.48319,-0.39370,0.03054
0.568,-0.44349,-0.56963,0.03543
0.568,-0.44349,-0.56963,0.03543
0.611,-0.34086,-0.70158,-0.00061
